Test,Trial,Angle_deg,LaunchForce_N,SpringConstant_Npm,Distance_cm,Distance_m
Test 1 - Gas Pump,1,15,,,317.0,3.17
Test 1 - Gas Pump,2,15,,,324.0,3.24
Test 1 - Gas Pump,3,15,,,320.0,3.2
Test 1 - Gas Pump,4,15,,,319.0,3.19
Test 1 - Gas Pump,5,15,,,322.0,3.22
Test 1 - Gas Pump,6,15,,,321.0,3.21
Test 1 - Gas Pump,7,15,,,318.0,3.18
Test 1 - Gas Pump,8,15,,,318.0,3.18
Test 1 - Gas Pump,9,15,,,318.0,3.18
Test 1 - Gas Pump,10,15,,,320.0,3.2
Test 1 - Gas Pump,1,20,,,372.0,3.72
Test 1 - Gas Pump,2,20,,,368.0,3.68
Test 1 - Gas Pump,3,20,,,373.0,3.73
Test 1 - Gas Pump,4,20,,,370.0,3.7
Test 1 - Gas Pump,5,20,,,369.0,3.69
Test 1 - Gas Pump,6,20,,,368.0,3.68
Test 1 - Gas Pump,7,20,,,371.0,3.71
Test 1 - Gas Pump,8,20,,,371.0,3.71
Test 1 - Gas Pump,9,20,,,369.0,3.69
Test 1 - Gas Pump,10,20,,,372.0,3.72
Test 1 - Gas Pump,1,25,,,410.0,4.1
Test 1 - Gas Pump,2,25,,,408.0,4.08
Test 1 - Gas Pump,3,25,,,407.0,4.07
Test 1 - Gas Pump,4,25,,,412.0,4.12
Test 1 - Gas Pump,5,25,,,410.0,4.1
Test 1 - Gas Pump,6,25,,,411.0,4.11
Test 1 - Gas Pump,7,25,,,406.0,4.06
Test 1 - Gas Pump,8,25,,,408.0,4.08
Test 1 - Gas Pump,9,25,,,408.0,4.08
Test 1 - Gas Pump,10,25,,,410.0,4.1
Test 1 - Gas Pump,1,30,,,588.0,5.88
Test 1 - Gas Pump,2,30,,,590.0,5.9
Test 1 - Gas Pump,3,30,,,593.0,5.93
Test 1 - Gas Pump,4,30,,,590.0,5.9
Test 1 - Gas Pump,5,30,,,595.0,5.95
Test 1 - Gas Pump,6,30,,,588.0,5.88
Test 1 - Gas Pump,7,30,,,591.0,5.91
Test 1 - Gas Pump,8,30,,,591.0,5.91
Test 1 - Gas Pump,9,30,,,589.0,5.89
Test 1 - Gas Pump,10,30,,,590.0,5.9
Test 1 - Gas Pump,1,35,,,643.0,6.43
Test 1 - Gas Pump,2,35,,,645.0,6.45
Test 1 - Gas Pump,3,35,,,639.0,6.39
Test 1 - Gas Pump,4,35,,,642.0,6.42
Test 1 - Gas Pump,5,35,,,643.0,6.43
Test 1 - Gas Pump,6,35,,,641.0,6.41
Test 1 - Gas Pump,7,35,,,642.0,6.42
Test 1 - Gas Pump,8,35,,,640.0,6.4
Test 1 - Gas Pump,9,35,,,638.0,6.38
Test 1 - Gas Pump,10,35,,,642.0,6.42
Test 1 - Gas Pump,1,40,,,717.0,7.17
Test 1 - Gas Pump,2,40,,,719.0,7.19
Test 1 - Gas Pump,3,40,,,722.0,7.22
Test 1 - Gas Pump,4,40,,,720.0,7.2
Test 1 - Gas Pump,5,40,,,723.0,7.23
Test 1 - Gas Pump,6,40,,,719.0,7.19
Test 1 - Gas Pump,7,40,,,719.0,7.19
Test 1 - Gas Pump,8,40,,,722.0,7.22
Test 1 - Gas Pump,9,40,,,723.0,7.23
Test 1 - Gas Pump,10,40,,,718.0,7.18
Test 1 - Gas Pump,1,45,,,759.0,7.59
Test 1 - Gas Pump,2,45,,,756.0,7.56
Test 1 - Gas Pump,3,45,,,758.0,7.58
Test 1 - Gas Pump,4,45,,,760.0,7.6
Test 1 - Gas Pump,5,45,,,756.0,7.56
Test 1 - Gas Pump,6,45,,,759.0,7.59
Test 1 - Gas Pump,7,45,,,759.0,7.59
Test 1 - Gas Pump,8,45,,,761.0,7.61
Test 1 - Gas Pump,9,45,,,761.0,7.61
Test 1 - Gas Pump,10,45,,,755.0,7.55
Test 1 - Gas Pump,1,50,,,723.0,7.23
Test 1 - Gas Pump,2,50,,,725.0,7.25
Test 1 - Gas Pump,3,50,,,719.0,7.19
Test 1 - Gas Pump,4,50,,,722.0,7.22
Test 1 - Gas Pump,5,50,,,720.0,7.2
Test 1 - Gas Pump,6,50,,,719.0,7.19
Test 1 - Gas Pump,7,50,,,721.0,7.21
Test 1 - Gas Pump,8,50,,,721.0,7.21
Test 1 - Gas Pump,9,50,,,722.0,7.22
Test 1 - Gas Pump,10,50,,,723.0,7.23
Test 1 - Gas Pump,1,55,,,670.0,6.7
Test 1 - Gas Pump,2,55,,,672.0,6.72
Test 1 - Gas Pump,3,55,,,669.0,6.69
Test 1 - Gas Pump,4,55,,,668.0,6.68
Test 1 - Gas Pump,5,55,,,671.0,6.71
Test 1 - Gas Pump,6,55,,,671.0,6.71
Test 1 - Gas Pump,7,55,,,666.0,6.66
Test 1 - Gas Pump,8,55,,,670.0,6.7
Test 1 - Gas Pump,9,55,,,668.0,6.68
Test 1 - Gas Pump,10,55,,,672.0,6.72
Test 1 - Gas Pump,1,60,,,562.0,5.62
Test 1 - Gas Pump,2,60,,,561.0,5.61
Test 1 - Gas Pump,3,60,,,563.0,5.63
Test 1 - Gas Pump,4,60,,,558.0,5.58
Test 1 - Gas Pump,5,60,,,558.0,5.58
Test 1 - Gas Pump,6,60,,,557.0,5.57
Test 1 - Gas Pump,7,60,,,561.0,5.61
Test 1 - Gas Pump,8,60,,,561.0,5.61
Test 1 - Gas Pump,9,60,,,563.0,5.63
Test 1 - Gas Pump,10,60,,,560.0,5.6
Test 1 - Gas Pump,1,65,,,425.0,4.25
Test 1 - Gas Pump,2,65,,,418.0,4.18
Test 1 - Gas Pump,3,65,,,419.0,4.19
Test 1 - Gas Pump,4,65,,,421.0,4.21
Test 1 - Gas Pump,5,65,,,419.0,4.19
Test 1 - Gas Pump,6,65,,,422.0,4.22
Test 1 - Gas Pump,7,65,,,420.0,4.2
Test 1 - Gas Pump,8,65,,,418.0,4.18
Test 1 - Gas Pump,9,65,,,420.0,4.2
Test 1 - Gas Pump,10,65,,,420.0,4.2
Test 1 - Gas Pump,1,70,,,382.0,3.82
Test 1 - Gas Pump,2,70,,,379.0,3.79
Test 1 - Gas Pump,3,70,,,378.0,3.78
Test 1 - Gas Pump,4,70,,,378.0,3.78
Test 1 - Gas Pump,5,70,,,376.0,3.76
Test 1 - Gas Pump,6,70,,,379.0,3.79
Test 1 - Gas Pump,7,70,,,380.0,3.8
Test 1 - Gas Pump,8,70,,,380.0,3.8
Test 1 - Gas Pump,9,70,,,377.0,3.77
Test 1 - Gas Pump,10,70,,,378.0,3.78
Test 1 - Gas Pump,1,75,,,333.0,3.33
Test 1 - Gas Pump,2,75,,,332.0,3.32
Test 1 - Gas Pump,3,75,,,329.0,3.29
Test 1 - Gas Pump,4,75,,,328.0,3.28
Test 1 - Gas Pump,5,75,,,331.0,3.31
Test 1 - Gas Pump,6,75,,,330.0,3.3
Test 1 - Gas Pump,7,75,,,332.0,3.32
Test 1 - Gas Pump,8,75,,,335.0,3.35
Test 1 - Gas Pump,9,75,,,329.0,3.29
